day,pair,participant,sensor,n_samples,duration_s,sampling_rate_hz,mean,std,min,q25,median,q75,max
day1,Pair1,INTACT-CS2-O-12,HR,1071,860.08,1.25,75.8672,3.6394,60.35,73.935,75.77,77.575,104.76
day1,Pair1,INTACT-CS2-O-12,EA,12918,861.04,15.0,0.1491,0.0695,0.0302,0.0898,0.1566,0.2055,0.2615
day1,Pair1,INTACT-CS2-O-12,PG,21472,861.09,24.94,8312.7222,462.3479,5193.0,8119.0,8432.0,8621.0,9210.0
day1,Pair1,INTACT-CS2-Y-06,HR,922,627.33,1.47,90.9807,8.2369,34.33,85.7525,89.145,94.5425,127.58
day1,Pair1,INTACT-CS2-Y-06,EA,9462,630.6,15.0,2.2224,0.7674,0.2293,1.6843,2.4346,2.8746,3.2218
day1,Pair1,INTACT-CS2-Y-06,PG,15672,630.59,24.85,10706.4899,802.6995,8202.0,10257.0,10758.0,11361.25,12637.0
day1,Pair2,INTACT-CS2-O-03,HR,1125,822.3,1.37,83.2208,3.8998,72.27,80.38,82.39,85.36,113.25
day1,Pair2,INTACT-CS2-O-03,EA,12351,823.24,15.0,2528.7643,4340.0317,0.1635,2.7298,4.4382,10000.0,10000.0
day1,Pair2,INTACT-CS2-O-03,PG,20459,823.18,24.85,7254.9957,296.0036,6402.0,7046.0,7257.0,7458.0,8238.0
day1,Pair2,INTACT-CS2-Y-05,HR,1427,1088.92,1.31,90.7419,25.0502,16.51,73.36,83.55,102.33,265.36
day1,Pair2,INTACT-CS2-Y-05,EA,16338,1088.95,15.0,2.6258,2.2597,0.0789,1.01,1.9224,3.4289,9.7319
day1,Pair2,INTACT-CS2-Y-05,PG,27063,1089.08,24.85,13366.5648,461.1577,9263.0,13002.0,13293.0,13799.0,14156.0
day1,Pair3,INTACT-CS2-O-01,HR,1158,1024.04,1.13,76.5288,5.6038,32.1,75.45,77.445,79.3475,90.9
day1,Pair3,INTACT-CS2-O-01,EA,14635,1025.45,14.27,0.8475,0.4504,0.0302,0.4397,0.8077,1.2553,1.7097
day1,Pair3,INTACT-CS2-O-01,PG,24325,1025.49,23.72,6975.4807,655.1662,3886.0,6618.0,6814.0,7270.0,9023.0
day1,Pair3,INTACT-CS2-Y-11,HR,1183,1010.05,1.17,77.9989,13.639,54.81,68.975,73.86,82.24,164.44
day1,Pair3,INTACT-CS2-Y-11,EA,15174,1011.35,15.0,4.6563,2.6445,0.0302,2.4419,4.6694,6.8595,9.5905
day1,Pair3,INTACT-CS2-Y-11,PG,25220,1011.46,24.93,9504.842,322.5621,5215.0,9357.0,9517.0,9643.0,15883.0
day1,Pair4,INTACT-CS2-O-18,HR,2090,1754.62,1.19,75.5643,8.3536,49.41,70.92,74.255,78.075,176.81
day1,Pair4,INTACT-CS2-O-18,EA,26328,1754.87,15.0,0.6695,0.2873,0.0666,0.4478,0.7255,0.9174,1.1003
day1,Pair4,INTACT-CS2-O-18,PG,43767,1754.98,24.94,3798.2862,160.7365,3311.0,3684.0,3774.0,3910.0,4264.0
day1,Pair4,INTACT-CS2-Y-12,HR,1316,840.37,1.57,96.8434,8.4383,11.48,92.235,96.18,100.9625,133.57
day1,Pair4,INTACT-CS2-Y-12,EA,12629,841.77,15.0,9.4751,10.2414,1.7938,2.9326,3.4585,14.0386,48.3821
