day,participant,sensor,n_samples,duration_s,sampling_rate_hz,mean,std,min,q25,median,q75,max
day1,INTACT-MCI-01,HR,1002,1256.75,0.8,57.1937,9.2673,33.32,53.1625,56.88,59.8875,159.58
day1,INTACT-MCI-01,EA,18867,1257.52,15.0,0.5943,0.1836,0.0723,0.446,0.6336,0.7641,0.8503
day1,INTACT-MCI-01,PG,31366,1257.63,24.94,8576.4241,1269.9166,6494.0,7228.25,8614.0,9552.0,12409.0
day1,INTACT-MCI-03,HR,1237,1006.94,1.23,75.1378,4.7041,63.9,73.1,74.3,75.96,142.95
day1,INTACT-MCI-03,EA,15119,1007.69,15.0,2.1633,1.5279,0.1816,0.8934,1.5847,3.5914,5.1725
day1,INTACT-MCI-03,PG,25125,1007.78,24.93,6090.9882,200.0474,5443.0,5950.0,6101.0,6236.0,6834.0
day1,INTACT-MCI-04,HR,1080,896.73,1.2,74.5374,5.9165,60.03,71.495,73.175,75.5525,112.89
day1,INTACT-MCI-04,EA,13463,897.3,15.0,0.1957,0.1049,0.0302,0.1008,0.1974,0.2871,0.3756
day1,INTACT-MCI-04,PG,22301,897.33,24.85,13896.2634,199.1503,13196.0,13727.0,13922.0,14083.0,14210.0
day1,INTACT-MCI-06,HR,1262,1146.87,1.1,76.8758,14.6412,24.39,70.135,75.01,79.8475,214.25
day1,INTACT-MCI-06,EA,17263,1150.67,15.0,3.5458,0.8198,1.5926,2.8806,3.7761,4.2662,4.8275
day1,INTACT-MCI-06,PG,28598,1150.69,24.85,11177.6517,1144.4742,8752.0,10413.0,10809.0,11598.0,15200.0
day1,INTACT-MCI-07,HR,986,788.91,1.25,78.8814,5.8971,46.56,76.26,78.73,81.8425,109.27
day1,INTACT-MCI-07,EA,11864,790.78,15.0,23.1307,25.8544,1.2868,7.1304,14.0495,28.9402,306.2872
day1,INTACT-MCI-07,PG,19654,790.79,24.85,10322.1269,1517.0208,6757.0,9137.0,10266.0,11412.0,13910.0
day1,INTACT-MCI-08,HR,994,852.23,1.17,84.0767,24.7764,43.45,71.43,74.685,86.14,221.24
day1,INTACT-MCI-08,EA,12790,852.51,15.0,0.7205,0.2739,0.2912,0.4653,0.7209,0.9679,1.1714
day1,INTACT-MCI-08,PG,21185,852.55,24.85,16689.8509,360.2753,16013.0,16441.0,16643.0,16947.0,17508.0
day1,INTACT-MCI-09,HR,1822,1341.29,1.36,84.5037,5.3667,43.32,81.0025,84.455,88.18,102.2
day1,INTACT-MCI-09,EA,20098,3095.62,6.49,2.716,1.2457,0.0,1.6705,2.9264,3.7592,5.2944
day1,INTACT-MCI-09,PG,33397,3096.03,10.79,8323.6211,751.6635,7.0,7796.0,8187.0,8779.0,10492.0
day1,INTACT-MCI-10,HR,1149,1070.8,1.07,82.8188,18.5615,43.63,74.56,81.56,87.16,240.82
day1,INTACT-MCI-10,EA,16188,1079.01,15.0,0.3496,0.1219,0.0302,0.238,0.3495,0.4638,0.5522
day1,INTACT-MCI-10,PG,26815,1078.93,24.85,14770.1056,1096.9988,239.0,14293.0,14907.0,15283.5,19693.0
day1,INTACT-MCI-11,HR,1068,1726.66,0.62,69.9719,6.4344,44.45,67.33,70.015,73.145,136.21
day1,INTACT-MCI-11,EA,14803,1796.61,8.24,0.9354,0.4041,0.0,0.6262,0.9992,1.2845,1.5467
day1,INTACT-MCI-11,PG,24587,1796.52,13.69,6436.8874,690.2895,7.0,6116.0,6270.0,6461.0,10342.0
day2,INTACT-MCI-01,HR,3098,3655.91,0.85,79.2849,34.8548,21.05,53.88,67.81,94.695,282.24
day2,INTACT-MCI-01,EA,55261,3683.59,15.0,0.3306,0.2645,0.0302,0.0302,0.3538,0.53,0.9681
day2,INTACT-MCI-01,PG,91848,3683.53,24.93,7148.0643,1312.1798,192.0,6439.0,6758.0,7315.0,12712.0
day2,INTACT-MCI-03,HR,3081,2782.91,1.11,68.3253,6.6867,48.5,63.96,65.85,72.29,116.51
day2,INTACT-MCI-03,EA,41762,2783.69,15.0,3.6561,1.9041,0.1798,2.5353,3.8422,4.701,14.8471
day2,INTACT-MCI-03,PG,69409,2783.75,24.93,7469.6447,560.7644,5514.0,7196.0,7572.0,7762.0,8604.0
day2,INTACT-MCI-04,HR,4387,6131.03,0.72,71.5924,10.0457,9.41,64.245,69.74,77.1,158.15
day2,INTACT-MCI-04,EA,65473,6146.13,10.65,1.2469,95.7227,0.0302,0.1074,0.2972,0.5175,10000.0
day2,INTACT-MCI-04,PG,108662,6146.26,17.68,10595.3069,3564.3704,159.0,10175.0,11470.0,12308.0,30167.0
day2,INTACT-MCI-05,HR,3158,2711.35,1.16,77.7455,10.7153,39.64,74.05,76.8,79.885,258.83
day2,INTACT-MCI-05,EA,40910,2726.96,15.0,2.9315,1.7087,0.0302,1.3959,3.0699,4.4439,5.8151
day2,INTACT-MCI-05,PG,67774,2726.88,24.85,11921.2703,3210.7282,145.0,11749.0,12173.0,12853.0,39421.0
day2,INTACT-MCI-06,HR,3206,3013.27,1.06,69.9904,7.6343,47.29,65.03,69.04,74.58,118.8
day2,INTACT-MCI-06,EA,45218,3014.14,15.0,1.5935,0.2941,0.0302,1.4717,1.5441,1.7075,7.2045
day2,INTACT-MCI-06,PG,74910,3014.07,24.85,11498.8726,1696.6449,6234.0,10129.0,12053.0,12673.0,22686.0
day2,INTACT-MCI-07,HR,2615,2385.15,1.1,70.1668,9.7136,14.64,65.38,67.8,72.455,165.22
day2,INTACT-MCI-07,EA,36125,2408.0,15.0,9459.3574,2258.1285,0.0302,10000.0,10000.0,10000.0,10000.0
day2,INTACT-MCI-07,PG,59846,2407.95,24.85,13500.7857,2210.1791,162.0,12878.0,13228.0,15059.0,16751.0
day2,INTACT-MCI-08,HR,3707,3507.24,1.06,76.633,16.5332,36.57,67.845,71.8,80.815,219.02
day2,INTACT-MCI-08,EA,52647,3509.28,15.0,2.6255,1.0448,0.338,1.8655,2.7438,3.4545,4.3601
day2,INTACT-MCI-08,PG,87213,3509.38,24.85,15739.3451,1262.8866,10480.0,15014.0,15578.0,16437.0,19596.0
day2,INTACT-MCI-09,HR,4343,3372.59,1.29,80.335,5.0753,60.81,76.92,79.78,83.245,106.37
day2,INTACT-MCI-09,EA,50791,3385.63,15.0,3.0892,1.1652,0.0302,2.1874,2.9542,3.2143,5.5146
day2,INTACT-MCI-09,PG,84129,3385.7,24.85,9357.9039,1280.641,232.0,8435.0,9203.0,10009.0,28765.0
day2,INTACT-MCI-10,HR,2941,4138.2,0.71,65.9047,19.0162,28.6,53.89,62.76,73.59,231.97
day2,INTACT-MCI-10,EA,62146,4147.27,14.98,0.0834,0.0252,0.0302,0.0639,0.0875,0.1055,0.1436
day2,INTACT-MCI-10,PG,103283,4147.28,24.9,10853.0455,1134.3496,198.0,10035.0,10593.0,11861.0,15601.0
day2,INTACT-MCI-11,HR,3858,4575.17,0.84,63.2814,8.162,5.0,58.01,61.485,66.565,125.76
day2,INTACT-MCI-11,EA,57309,4579.17,12.52,2.6187,1.0528,0.0,1.9728,2.9117,3.4723,5.1956
day2,INTACT-MCI-11,PG,95280,4580.02,20.8,8157.2875,1579.3072,1.0,7405.0,8217.0,8673.0,14574.0
